,Message
141,"Hi Customer, Booking ID: W5YY7AZ. Seats: SILVER-I8,I9,I10,I11,I12,I13, 6 seat(s) for X-Men: Apocalypse on 2011-07-08 7:10 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
142,"* KSRTC m-Ticket *  from: Puducherry to: Thiruvananthapuram PsngrName: Brian TripCode: 1432PudThi PNR No.: J41970757 JnyDate: 2014-01-20 DepTime: 14:32  SeatNo.: 1, 39, 14, 15, 25, 47  Class: AC Sleeper  BoardingPt: Puducherry Rly Station Txn Password: 6186 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
143,"PNR:1866847232,TRAIN:4363,DOJ:2011-10-06,AC3,ASAF-BHJA,Dep:10:22, Lucas,B7 29 , Fare:9814,SC:10.0+PG+INS"
144,"PNR:7463284171,TRAIN:14784,DOJ:2013-09-05,AC3,AUB-BOKE,Dep:22:25, Brady,B6 65 , Fare:9078,SC:10.0+PG+INS"
145,"Repair ref.no for your car is JC42714437 opened on 2012-01-09 6:14hrs,ETD of your car is 2012-01-10 7:47hrs and est.repair amt is Rs.1087 Rgds, Lakshmi Auto Agency"
146,"Thank you for choosing Ola for 2015-07-17 at 4:32. Cab:KA28E5463 , Chauffer: Carson, Cell: 9177568157 will reach you. T&C apply, visit www.Ola.com"
147,Bill dated 2013-03-31 for Rs 1138 has been generated for your Bsnl fixedline/broadband relationship no. 56763777. The same will reach you by 2013-04-03. Due date: 2013-04-15.
148,"Hi Customer, Booking ID: WJ6MPAA. Seats: STANDARD-L7,L8,L9,L10,L11,L12,L13,L14, 8 seat(s) for Teenage Mutant Ninja Turtles: Out of the Shadows on 2014-04-14 4:31 at INOX: Garuda Swagath Mall, Jayanagar. Please carry your CC/DC card which was used for booking tickets."
149,Bill dated 2011-10-05 for Rs 272 has been generated for your Idea fixedline/broadband relationship no. 58417452. The same will reach you by 2011-10-08. Due date: 2011-10-20.
150,"DEAR Joshua, THANK YOU FOR YOUR BOOKING (ORDER ID: 47537), YOUR ORDER HAS BEEN ASSIGNED TO Skyler(9678325147) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-07-24 at 2:24. FOR ASSISTANCE WHATSAPP US ON 8172183365."
151,"Welcome to Humphreys College R.No. 216, 408 Ch.In 2015-05-28 0:48 Ch.out 2015-05-30 12:00."
152,"* KSRTC m-Ticket *  from: Mangaluru to: MANDYA PsngrName: Leonardo TripCode: 052ManMAN PNR No.: J48792707 JnyDate: 2010-11-10 DepTime: 0:52  SeatNo.: 2, 5, 7, 41, 42, 34, 14, 54  Class: Non-AC chair  BoardingPt: Mangaluru MG Road Txn Password: 8551 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
153,"Dear Guest, Thanks for choosing Sneaky Pete 's. Order ID 1442. Delivery by 2010-07-20 5:14. Enjoy 24% discount on your next purchase. Code JF3T2F. T&C."
154,True Value : Service of your car KA72Z6412 is due in 24 days on 2014-06-08. Please contact us at 9266178847 to book a service.
155,Bill dated 2011-07-07 for Rs 795 has been generated for your Airtel fixedline/broadband relationship no. 23842542. The same will reach you by 2011-07-10. Due date: 2011-07-22.
156,"PNR:6548444548,TRAIN:7413,DOJ:2013-04-06,FC,ADF-BHRL,Dep:2:25, Wesley,F8 78 , Fare:7955,SC:10.0+PG+INS"
157,"Dear Guest, Thanks for choosing Winehouse. Order ID 3271. Delivery by 2014-02-01 16:36. Enjoy 15% discount on your next purchase. Code EP4RKC. T&C."
158,"Dear Guest, Thanks for choosing BeiTou Incinerator. Order ID 6627. Delivery by 2010-06-25 20:34. Enjoy 20% discount on your next purchase. Code ZVROHU. T&C."
159,"Hi Customer, Booking ID: WY3B7UE. Seats: PLATINUM-G13,G14,G15,G16,G17,G18,G19, 7 seat(s) for Ice Age: Collision Course on 2010-08-06 12:50 at PVR: Market City, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
160,Aryan Auto Agency : Service of your car KA81W3482 is due in 86 days on 2012-09-28. Please contact us at 9421258444 to book a service.
161,"PNR:1322375243,TRAIN:78745,DOJ:2014-12-07,FC,BJD-BZR,Dep:6:14, Alexis,F4 45 , Fare:5845,SC:10.0+PG+INS"
162,"* KSRTC m-Ticket *  from: THRISSUR to: Thiruvananthapuram PsngrName: Evan TripCode: 335THRThi PNR No.: J62981278 JnyDate: 2012-03-07 DepTime: 3:35  SeatNo.: 56, 25, 15, 20, 23  Class: AC Sleeper  BoardingPt: THRISSUR Rly Station Txn Password: 4564 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
163,"Repair ref.no for your car is JC86621545 opened on 2012-12-31 17:44hrs,ETD of your car is 2013-01-01 22:31hrs and est.repair amt is Rs.2892 Rgds, Lakshmi Auto Agency"
164,Lakshmi Auto Agency : Service of your car KA18T4773 is due in 18 days on 2014-07-18. Please contact us at 9327225623 to book a service.
165,Bill dated 2009-11-24 for Rs 263 has been generated for your Reliance fixedline/broadband relationship no. 56726223. The same will reach you by 2009-11-27. Due date: 2009-12-09.
166,Maruti Auto Agency : Service of your car KA42Q6342 is due in 77 days on 2011-06-13. Please contact us at 9866322163 to book a service.
167,Bill dated 2012-01-29 for Rs 518 has been generated for your Airtel fixedline/broadband relationship no. 41725135. The same will reach you by 2012-02-01. Due date: 2012-02-13.
168,"Welcome to VeganBurg R.No. 288, 197 Ch.In 2014-10-26 16:43 Ch.out 2014-11-19 12:00."
169,"Repair ref.no for your car is JC14475268 opened on 2010-03-07 15:34hrs,ETD of your car is 2010-03-08 4:40hrs and est.repair amt is Rs.2718 Rgds, Maha Veer Auto Agency"
170,Maha Veer Auto Agency : Service of your car KA35B7887 is due in 67 days on 2011-04-02. Please contact us at 9147118638 to book a service.
171,"[Pattaya Park Beach hotel] Hi Troy, your reservation is confirmed for 27 people on 2012-08-26 at 14:38. We can hold your table for a maximum of 40 mins."
172,"[Hurley Mountain Inn] Hi Caden, your reservation is confirmed for 14 people on 2010-10-20 at 2:31. We can hold your table for a maximum of 44 mins."
173,"[Moe 's Southwest Grill] Hi Avery, your reservation is confirmed for 19 people on 2011-03-17 at 11:27. We can hold your table for a maximum of 29 mins."
174,"[JS Food Plan] Hi Trey, your reservation is confirmed for 12 people on 2011-10-16 at 2:37. We can hold your table for a maximum of 9 mins."
175,Aryan Auto Agency : Service of your car KA83D7262 is due in 75 days on 2013-03-18. Please contact us at 9186288286 to book a service.
176,"PNR:7214716784,TRAIN:5676,DOJ:2015-08-19,FC,BF-BMC,Dep:21:42, Trenton,F2 59 , Fare:2005,SC:10.0+PG+INS"
177,"Dear Guest, Thanks for choosing Bstn Mrkt. Order ID 3435. Delivery by 2013-05-11 12:46. Enjoy 26% discount on your next purchase. Code HF20HX. T&C."
178,"* KSRTC m-Ticket *  from: HUNDIMALA to: HASSAN PsngrName: Javier TripCode: 243HUNHAS PNR No.: J29612593 JnyDate: 2010-06-13 DepTime: 2:43  SeatNo.: 40, 10  Class: Non-AC Sleeper  BoardingPt: HUNDIMALA Residency Road Txn Password: 4827 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
179,Welcome to OverseaChinese Banking R.No. 431 Ch.In 2015-07-20 8:16 Ch.out 2015-07-22 12:00.
180,"* KSRTC m-Ticket *  from: COONUR to: AGUMBE PsngrName: Maxwell TripCode: 422COOAGU PNR No.: J26824487 JnyDate: 2012-03-30 DepTime: 4:22  SeatNo.: 40, 53, 7  Class: AC Sleeper  BoardingPt: COONUR Residency Road Txn Password: 8453 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
181,The PNR for your AirAsia Flt 2L713 for MYQ-STV on 2011-01-02 at 6:35 hrs  is YQA436. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
182,"Thank you for choosing ucabs for 2013-08-04 at 14:44. Cab:KA26M5588 , Chauffer: Adam, Cell: 9464821167 will reach you. T&C apply, visit www.ucabs.com"
183,"[Smitty 's] Hi Jake, your reservation is confirmed for 3 people on 2011-08-17 at 14:21. We can hold your table for a maximum of 35 mins."
184,The PNR for your AirAsia Flt 1R278 for IDR-RJA on 2012-09-09 at 23:22 hrs  is FDRL8M. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
185,"PNR:3285887441,TRAIN:12126,DOJ:2009-12-02,FC,BGG-BCO,Dep:9:52, Bryce,F4 54 , Fare:4268,SC:10.0+PG+INS"
186,"Thank you for choosing Uber for 2011-04-26 at 14:18. Cab:KA16T3143 , Chauffer: Colby, Cell: 9665751236 will reach you. T&C apply, visit www.Uber.com"
187,"Repair ref.no for your car is JC82373675 opened on 2013-09-23 22:34hrs,ETD of your car is 2013-09-24 15:50hrs and est.repair amt is Rs.850 Rgds, Aryan Auto Agency"
188,Welcome to Magic Valley R.No. 178 Ch.In 2013-01-06 17:43 Ch.out 2013-01-13 12:00.
189,Lakshmi Auto Agency : Service of your car KA78K4574 is due in 51 days on 2015-01-20. Please contact us at 9314425111 to book a service.
190,Bill dated 2011-04-19 for Rs 343 has been generated for your Jio fixedline/broadband relationship no. 11312843. The same will reach you by 2011-04-22. Due date: 2011-05-04.
191,"* KSRTC m-Ticket *  from: Coimbatore to: PUTTAPARTHI PsngrName: Michael TripCode: 753CoiPUT PNR No.: J63486275 JnyDate: 2013-04-08 DepTime: 7:53  SeatNo.: 37, 6, 11, 12, 50, 20, 53, 56, 52, 29  Class: Non-AC chair  BoardingPt: Coimbatore Residency Road Txn Password: 3851 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
192,"* KSRTC m-Ticket *  from: HIRIYUR to: KOTTAYAM PsngrName: Bryson TripCode: 058HIRKOT PNR No.: J55471181 JnyDate: 2015-06-10 DepTime: 0:58  SeatNo.: 20, 2, 52, 58, 47  Class: AC Sleeper  BoardingPt: HIRIYUR Rly Station Txn Password: 7171 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
193,Maha Veer Auto Agency : Service of your car KA61V1113 is due in 62 days on 2014-09-29. Please contact us at 9145115535 to book a service.
194,"Repair ref.no for your car is JC31363332 opened on 2011-06-22 4:34hrs,ETD of your car is 2011-06-23 9:30hrs and est.repair amt is Rs.1251 Rgds, Bimal Auto Agency"
195,"Dear Guest, Thanks for choosing Boudin Bakery. Order ID 5627. Delivery by 2013-01-22 8:43. Enjoy 22% discount on your next purchase. Code SLUKYV. T&C."
196,Bill dated 2010-02-12 for Rs 948 has been generated for your Bsnl fixedline/broadband relationship no. 45256634. The same will reach you by 2010-02-15. Due date: 2010-02-27.
197,* KSRTC m-Ticket *  from: Pune to: Belagavi PsngrName: Sergio TripCode: 453PunBel PNR No.: J50556355 JnyDate: 2009-11-03 DepTime: 4:53  SeatNo.: 20  Class: AC Sleeper  BoardingPt: Pune Residency Road Txn Password: 6156 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
198,"PNR:3563825688,TRAIN:5373,DOJ:2013-04-04,AC3,BWW-BQU,Dep:11:34, Colton,B3 12 , Fare:4016,SC:10.0+PG+INS"
199,"PNR:4886724347,TRAIN:86385,DOJ:2012-09-06,AC3,BLL-BLOR,Dep:9:25, Carter,B8 30 , Fare:6638,SC:10.0+PG+INS"
200,Aryan Auto Agency : Service of your car KA23V1376 is due in 75 days on 2014-04-19. Please contact us at 9526448537 to book a service.
201,"Welcome to University of Michigan R.No. 218, 562, 157 Ch.In 2012-09-14 0:41 Ch.out 2012-09-25 12:00."
202,"Dear Guest, Thanks for choosing Fosters Freeze. Order ID 3268. Delivery by 2010-07-22 19:31. Enjoy 21% discount on your next purchase. Code T3WLC2. T&C."
203,"[Black Angus Steakhouse] Hi Ayden, your reservation is confirmed for 8 people on 2014-08-31 at 9:32. We can hold your table for a maximum of 20 mins."
204,"Thank you for choosing Uber for 2013-02-12 at 2:20. Cab:KA54M4417 , Chauffer: Brayden, Cell: 9224581457 will reach you. T&C apply, visit www.Uber.com"
205,True Value : Service of your car KA44S7751 is due in 15 days on 2013-08-16. Please contact us at 9783528748 to book a service.
206,"Dear Guest, Thanks for choosing Sakae Sushi. Order ID 3674. Delivery by 2013-01-05 9:35. Enjoy 10% discount on your next purchase. Code L28T3Y. T&C."
207,"Hi Customer, Booking ID: W24HQMC. Seats: PLATINUM-G13,G14,G15,G16, 4 seat(s) for La La Land on 2011-12-17 2:33 at PVR: Market City, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
208,"* KSRTC m-Ticket *  from: MANTRALAYA to: KOLAR GOLD FIELD PsngrName: Hayden TripCode: 2337MANKOL PNR No.: J44285045 JnyDate: 2014-06-20 DepTime: 23:37  SeatNo.: 27, 13  Class: Non-AC Sleeper  BoardingPt: MANTRALAYA Residency Road Txn Password: 6313 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
209,Maha Veer Auto Agency : Service of your car KA25X3387 is due in 77 days on 2010-01-28. Please contact us at 9461227245 to book a service.
210,"[Geri 's Hamburgers] Hi Troy, your reservation is confirmed for 4 people on 2010-06-05 at 0:30. We can hold your table for a maximum of 3 mins."
211,"Dear Guest, Thanks for choosing Abadgaran Hotel. Order ID 4515. Delivery by 2012-09-27 8:14. Enjoy 5% discount on your next purchase. Code PL4N8O. T&C."
212,"Dear Guest, Thanks for choosing MOS Burger. Order ID 1782. Delivery by 2015-08-17 16:44. Enjoy 24% discount on your next purchase. Code M1ZQ71. T&C."
213,"Welcome to AMERICAN BK HOLDING CORP R.No. 489, 298 Ch.In 2014-01-24 19:36 Ch.out 2014-01-28 12:00."
214,"Welcome to Credit Union R.No. 178, 340 Ch.In 2010-06-07 0:57 Ch.out 2010-06-21 12:00."
215,Maruti Auto Agency : Service of your car KA15F6118 is due in 84 days on 2014-06-28. Please contact us at 9722844126 to book a service.
216,Bill dated 2010-05-18 for Rs 899 has been generated for your Aircel fixedline/broadband relationship no. 65231418. The same will reach you by 2010-05-21. Due date: 2010-06-02.
217,"Hi Customer, Booking ID: WXKP9BA. Seats: STANDARD-K11,K12,K13,K14,K15, 5 seat(s) for Trolls on 2014-05-23 3:19 at Rex Theatre: Brigade Road. Please carry your CC/DC card which was used for booking tickets."
218,"Repair ref.no for your car is JC81863543 opened on 2014-05-29 11:55hrs,ETD of your car is 2014-05-30 14:40hrs and est.repair amt is Rs.661 Rgds, Sarden Auto Agency"
219,"Dear Guest, Thanks for choosing Le Train Blue Restaurant on top of Hiroshima Kokusai Hotel. Order ID 8452. Delivery by 2010-02-02 9:19. Enjoy 16% discount on your next purchase. Code VD59XV. T&C."
220,"Repair ref.no for your car is JC78168166 opened on 2014-01-02 2:19hrs,ETD of your car is 2014-01-03 1:46hrs and est.repair amt is Rs.2104 Rgds, Sarden Auto Agency"
221,The PNR for your AirAsia Flt 3V838 for PNQ-TEZ on 2014-07-21 at 22:27 hrs  is XV2HIB. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
222,"Repair ref.no for your car is JC61375351 opened on 2012-11-12 23:57hrs,ETD of your car is 2012-11-13 17:32hrs and est.repair amt is Rs.531 Rgds, Aryan Auto Agency"
223,Appointment with Dr Max in Dharmastala on 2012-08-28 at 11:58 is confirmed. For queries call 1800 4442 7236. Your appt. might get delayed in case the doctor is attending an emergency.
224,"Thank you for choosing radiocabs for 2010-06-29 at 16:34. Cab:KA82I3435 , Chauffer: Jace, Cell: 9584237244 will reach you. T&C apply, visit www.radiocabs.com"
225,Bill dated 2012-06-22 for Rs 643 has been generated for your Jio fixedline/broadband relationship no. 32563888. The same will reach you by 2012-06-25. Due date: 2012-07-07.
226,"PNR:3354111167,TRAIN:8467,DOJ:2011-11-09,AC3,ARV-BTKP,Dep:11:58, John,B3 40 , Fare:8907,SC:10.0+PG+INS"
227,Bill dated 2012-07-17 for Rs 634 has been generated for your Jio fixedline/broadband relationship no. 12233146. The same will reach you by 2012-07-20. Due date: 2012-08-01.
228,"Hi Customer, Booking ID: W1T3QYS. Seats: SILVER-A15, 1 seat(s) for Bad Moms on 2010-02-11 6:33 at INOX: Garuda Swagath Mall, Jayanagar. Please carry your CC/DC card which was used for booking tickets."
229,"Dear Guest, Thanks for choosing TGI. Order ID 4848. Delivery by 2010-11-30 5:54. Enjoy 9% discount on your next purchase. Code LA203G. T&C."
230,Bill dated 2015-02-04 for Rs 379 has been generated for your Jio fixedline/broadband relationship no. 72264672. The same will reach you by 2015-02-07. Due date: 2015-02-19.
231,"Thank you for choosing taxiforsure for 2010-06-01 at 11:18. Cab:KA42P3117 , Chauffer: Emmanuel, Cell: 9321834842 will reach you. T&C apply, visit www.taxiforsure.com"
232,Aryan Auto Agency : Service of your car KA87F7634 is due in 16 days on 2011-12-14. Please contact us at 9487774763 to book a service.
233,"PNR:2865233154,TRAIN:4334,DOJ:2010-11-09,AC3,ASN-BJNR,Dep:0:48, Tyler,B7 30 , Fare:1768,SC:10.0+PG+INS"
234,Aryan Auto Agency : Service of your car KA11C3631 is due in 18 days on 2013-04-10. Please contact us at 9475315768 to book a service.
235,Welcome to Swagman Restaurant R.No. 149 Ch.In 2011-09-27 12:31 Ch.out 2011-09-28 12:00.
236,"Hi Customer, Booking ID: WU0OCM2. Seats: GOLD-A15, 1 seat(s) for Independence Day: Resurgence on 2012-12-07 4:27 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
237,Lakshmi Auto Agency : Service of your car KA67H7844 is due in 32 days on 2011-10-20. Please contact us at 9873764853 to book a service.
238,"Thank you for choosing KSRTC for 2013-03-17 at 3:15. Cab:KA54U5711 , Chauffer: George, Cell: 9375856785 will reach you. T&C apply, visit www.KSRTC.com"
239,"Hi Customer, Booking ID: WOIU514. Seats: SILVER-N15,N16,N17,N18,N19, 5 seat(s) for X-Men: Apocalypse on 2012-08-08 4:16 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
240,"DEAR Jeremy, THANK YOU FOR YOUR BOOKING (ORDER ID: 85218), YOUR ORDER HAS BEEN ASSIGNED TO Brendan(9235816373) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-09-25 at 2:28. FOR ASSISTANCE WHATSAPP US ON 8451771185."
241,"[Insomnia Coffee Company] Hi Landen, your reservation is confirmed for 6 people on 2014-11-15 at 11:36. We can hold your table for a maximum of 4 mins."
242,"Dear Guest, Thanks for choosing Coffee Day. Order ID 3328. Delivery by 2015-05-03 22:52. Enjoy 17% discount on your next purchase. Code PJUSNW. T&C."
243,Bill dated 2013-03-21 for Rs 611 has been generated for your Bsnl fixedline/broadband relationship no. 55271881. The same will reach you by 2013-03-24. Due date: 2013-04-05.
244,True Value : Service of your car KA84B6442 is due in 86 days on 2012-03-30. Please contact us at 9113867228 to book a service.
245,"* KSRTC m-Ticket *  from: Mysuru to: Bengaluru PsngrName: Henry TripCode: 132MysBen PNR No.: J74840286 JnyDate: 2014-01-21 DepTime: 1:32  SeatNo.: 49, 59, 9, 44, 17  Class: Non-AC chair  BoardingPt: Mysuru Rly Station Txn Password: 1881 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
246,"Welcome to CNB BK SHARES R.No. 520, 515, 255, 151 Ch.In 2013-03-12 23:42 Ch.out 2013-03-28 12:00."
247,"Repair ref.no for your car is JC41166545 opened on 2009-11-15 22:29hrs,ETD of your car is 2009-11-16 16:22hrs and est.repair amt is Rs.991 Rgds, Maha Veer Auto Agency"
248,"Repair ref.no for your car is JC62312513 opened on 2012-04-06 0:58hrs,ETD of your car is 2012-04-07 5:38hrs and est.repair amt is Rs.2604 Rgds, Maruti Auto Agency"
249,"[Wagamama] Hi Dawson, your reservation is confirmed for 29 people on 2012-05-23 at 14:13. We can hold your table for a maximum of 24 mins."
250,"DEAR Zachary, THANK YOU FOR YOUR BOOKING (ORDER ID: 56412), YOUR ORDER HAS BEEN ASSIGNED TO Avery(9741163521) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2015-06-30 at 2:38. FOR ASSISTANCE WHATSAPP US ON 8173281534."
251,"PNR:7262521412,TRAIN:64186,DOJ:2013-01-13,SL,AONI-BNWS,Dep:19:31, Adam,S2 55 , Fare:6241,SC:10.0+PG+INS"
252,"[Mimi 's Cafe] Hi Liam, your reservation is confirmed for 10 people on 2011-09-30 at 2:39. We can hold your table for a maximum of 13 mins."
253,"PNR:4216365766,TRAIN:1428,DOJ:2011-07-26,FC,BMF-BHTR,Dep:12:14, Vincent,F9 35 , Fare:6870,SC:10.0+PG+INS"
254,"PNR:5844624181,TRAIN:75653,DOJ:2012-10-27,AC3,AVN-VAA,Dep:0:45, Elias,B8 12 , Fare:8130,SC:10.0+PG+INS"
